DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:49:11.855,391,0.39264908,0.11492168,9.844957,
2023-1-31,10:49:11.856,392,0.37349546,0.11492168,9.854534,
2023-1-31,10:49:11.861,396,0.36391866,0.11492168,9.854534,
2023-1-31,10:49:11.872,408,0.38307226,0.11492168,9.864111,
2023-1-31,10:49:11.873,409,0.39264908,0.10534488,9.825804,
2023-1-31,10:49:11.875,411,0.35434186,0.10534488,9.844957,
2023-1-31,10:49:11.880,416,0.38307226,0.11492168,9.844957,
2023-1-31,10:49:11.890,426,0.38307226,0.076614454,9.835381,
2023-1-31,10:49:11.891,427,0.38307226,0.05746084,9.816227,
2023-1-31,10:49:11.896,432,0.37349546,0.038307227,9.864111,
2023-1-31,10:49:11.903,438,0.38307226,0.02873042,9.854534,
2023-1-31,10:49:11.906,442,0.39264908,0.047884032,9.873688,
2023-1-31,10:49:11.910,446,0.37349546,0.038307227,9.844957,
2023-1-31,10:49:11.915,451,0.35434186,0.06703765,9.586384,
2023-1-31,10:49:11.922,458,0.4309563,0.06703765,9.883265,
2023-1-31,10:49:11.925,461,0.50757074,0.02873042,10.132261,
2023-1-31,10:49:11.930,466,0.50757074,0.05746084,10.04607,
2023-1-31,10:49:11.936,472,0.36391866,0.10534488,9.548077,
2023-1-31,10:49:11.941,477,0.33518824,0.1340753,9.375694,
2023-1-31,10:49:11.946,482,0.4309563,0.10534488,10.093954,
2023-1-31,10:49:11.954,489,0.47884035,0.076614454,10.189722,
2023-1-31,10:49:11.956,491,0.39264908,0.11492168,9.873688,
2023-1-31,10:49:11.961,497,0.30645782,0.1436521,9.3661175,
2023-1-31,10:49:11.973,509,0.2681506,0.1436521,9.414001,
2023-1-31,10:49:11.975,510,0.41180268,0.12449849,9.950302,
2023-1-31,10:49:11.976,512,0.49799395,0.095768064,10.25676,
2023-1-31,10:49:11.982,518,0.5267244,0.06703765,10.25676,
2023-1-31,10:49:11.993,529,0.4405331,0.08619126,10.1226845,
2023-1-31,10:49:11.995,530,0.34476504,0.1436521,9.749189,
2023-1-31,10:49:11.996,532,0.22984336,0.22984336,8.66701,
2023-1-31,10:49:12.6,541,0.38307226,0.22984336,9.931149,
2023-1-31,10:49:12.7,543,0.50757074,0.30645782,10.093954,
2023-1-31,10:49:12.10,546,0.35434186,0.21068975,9.481039,
2023-1-31,10:49:12.21,556,0.4213795,0.23942018,9.730036,
2023-1-31,10:49:12.22,558,0.38307226,0.2777274,9.864111,
2023-1-31,10:49:12.24,560,0.37349546,0.18195933,9.940725,
2023-1-31,10:49:12.29,565,0.33518824,0.29688102,9.873688,
2023-1-31,10:49:12.37,573,0.29688102,0.24899697,10.065224,
2023-1-31,10:49:12.39,575,0.19153613,0.16280572,9.710882,
2023-1-31,10:49:12.44,580,0.2681506,0.10534488,9.921572,
2023-1-31,10:49:12.55,590,0.45968673,0.06703765,10.036493,
2023-1-31,10:49:12.56,591,0.2681506,0.009576807,9.672575,
2023-1-31,10:49:12.60,596,0.23942018,0.02873042,9.835381,
2023-1-31,10:49:12.71,607,0.29688102,0.15322891,9.921572,
2023-1-31,10:49:12.73,608,0.30645782,0.4405331,9.710882,
2023-1-31,10:49:12.74,610,0.19153613,0.58418524,9.892841,
2023-1-31,10:49:12.79,615,0.35434186,0.92895025,9.873688,
2023-1-31,10:49:12.88,623,0.31603462,1.1587936,9.911995,
2023-1-31,10:49:12.90,626,0.33518824,1.436521,9.998186,
2023-1-31,10:49:12.95,630,0.17238252,1.8100165,9.691729,
2023-1-31,10:49:12.99,635,-0.047884032,2.0111294,9.797073,
2023-1-31,10:49:12.105,641,-0.30645782,2.0207062,9.988609,
2023-1-31,10:49:12.109,645,-0.7661445,2.087744,10.0748005,
2023-1-31,10:49:12.115,651,-0.94810385,2.0590134,9.184157,
2023-1-31,10:49:12.121,657,-0.90979666,1.9153614,9.682152,
2023-1-31,10:49:12.124,660,-0.7661445,1.8579005,9.998186,
2023-1-31,10:49:12.130,665,-0.63206923,1.6567876,9.662998,
2023-1-31,10:49:12.136,671,-0.50757074,1.541866,10.093954,
2023-1-31,10:49:12.139,675,-0.62249243,1.6089035,9.595961,
2023-1-31,10:49:12.144,680,-0.5746084,1.7621324,9.998186,
2023-1-31,10:49:12.152,687,-0.05746084,1.9153614,9.950302,
2023-1-31,10:49:12.154,690,0.2873042,2.4516625,9.662998,
2023-1-31,10:49:12.160,696,0.6895301,2.873042,10.429143,
2023-1-31,10:49:12.165,700,0.8331822,3.1603463,9.902418,
2023-1-31,10:49:12.175,711,0.93852705,3.3997664,9.471462,
2023-1-31,10:49:12.176,712,1.2066777,3.2944214,10.065224,
2023-1-31,10:49:12.180,715,1.3790601,3.323152,9.844957,
2023-1-31,10:49:12.190,726,1.685518,3.4380736,9.883265,
2023-1-31,10:49:12.191,727,1.541866,3.3135753,10.429143,
2023-1-31,10:49:12.193,729,1.4173675,3.620033,9.346964,
2023-1-31,10:49:12.205,741,1.3311762,4.0892963,9.078813,
2023-1-31,10:49:12.206,742,1.1779473,4.223372,9.988609,
2023-1-31,10:49:12.208,744,1.0247183,4.4340615,9.557653,
2023-1-31,10:49:12.221,757,0.82360536,4.673482,10.084377,
2023-1-31,10:49:12.222,758,0.30645782,5.085284,10.113108,
2023-1-31,10:49:12.223,759,-0.10534488,5.315128,9.232041,
2023-1-31,10:49:12.229,764,-0.93852705,6.0142345,9.155427,
2023-1-31,10:49:12.238,774,-1.6950948,6.3302693,10.01734,
2023-1-31,10:49:12.239,775,-2.5761611,6.694188,11.204864,
2023-1-31,10:49:12.243,779,-2.767697,6.6367273,10.084377,
2023-1-31,10:49:12.254,790,-2.7581203,6.4547677,9.56723,
2023-1-31,10:49:12.255,791,-2.6048915,6.253655,9.605537,
2023-1-31,10:49:12.259,795,-2.3942018,6.129156,11.18571,
2023-1-31,10:49:12.263,799,-1.4173675,6.5505357,10.093954,
2023-1-31,10:49:12.272,808,-0.33518824,6.196194,13.723564,
2023-1-31,10:49:12.273,809,-0.10534488,6.7803793,9.528923,
2023-1-31,10:49:12.279,814,0.5267244,6.4547677,9.097966,
2023-1-31,10:49:12.286,822,0.92895025,6.1387334,7.881712,
2023-1-31,10:49:12.288,823,1.2354081,5.554548,9.787497,
2023-1-31,10:49:12.293,829,1.4939818,5.0278234,10.275913,
2023-1-31,10:49:12.298,834,1.5801731,4.7405195,9.682152,
2023-1-31,10:49:12.304,840,1.7429788,4.271256,9.844957,
2023-1-31,10:49:12.308,844,1.8674773,3.86903,9.873688,
2023-1-31,10:49:12.313,849,1.9632454,3.2944214,11.21444,
2023-1-31,10:49:12.320,855,1.7525556,2.9783869,10.515334,
2023-1-31,10:49:12.324,860,1.532289,2.566584,10.0748005,
2023-1-31,10:49:12.329,864,1.3120226,2.336741,11.33894,
2023-1-31,10:49:12.334,870,0.93852705,2.3750482,10.141838,
2023-1-31,10:49:12.338,874,0.82360536,2.0207062,10.812215,
2023-1-31,10:49:12.343,879,0.545878,1.982399,10.668563,
2023-1-31,10:49:12.361,896,0.5746084,1.8004397,9.615114,
2023-1-31,10:49:12.362,898,0.4213795,1.6950948,10.180145,
2023-1-31,10:49:12.363,899,0.21068975,1.6472107,10.189722,
2023-1-31,10:49:12.364,900,-0.23942018,1.8483237,8.39886,
2023-1-31,10:49:12.374,910,-0.30645782,1.7812861,11.21444,
2023-1-31,10:49:12.375,911,-0.5554548,1.4939818,9.701305,
2023-1-31,10:49:12.377,913,-0.545878,1.0151415,10.716447,
2023-1-31,10:49:12.388,923,-0.58418524,0.7661445,10.668563,
2023-1-31,10:49:12.389,924,-0.48841715,0.39264908,10.658986,
2023-1-31,10:49:12.394,929,-0.39264908,0.095768064,10.208876,
2023-1-31,10:49:12.404,939,0.08619126,-0.38307226,9.481039,
2023-1-31,10:49:12.405,940,0.32561144,-1.0247183,8.791509,
2023-1-31,10:49:12.407,943,0.41180268,-1.5131354,9.3182335,
2023-1-31,10:49:12.413,949,0.48841715,-1.5897499,10.6877165,
2023-1-31,10:49:12.422,957,0.5363012,-1.5897499,10.103531,
2023-1-31,10:49:12.423,959,0.5554548,-1.6663644,11.9135475,
2023-1-31,10:49:12.429,965,0.5267244,-1.685518,10.7356,
2023-1-31,10:49:12.437,973,0.58418524,-1.7142484,10.208876,
2023-1-31,10:49:12.439,975,0.58418524,-1.6759412,9.605537,
2023-1-31,10:49:12.443,979,0.50757074,-1.7621324,9.988609,
2023-1-31,10:49:12.454,990,0.5363012,-1.7238252,10.084377,
2023-1-31,10:49:12.455,991,0.5746084,-1.6280571,8.619126,
2023-1-31,10:49:12.458,994,0.49799395,-1.8004397,10.43872,
2023-1-31,10:49:12.464,999,0.5363012,-1.7142484,11.463438,
2023-1-31,10:49:12.470,1006,0.5554548,-1.532289,10.237606,
2023-1-31,10:49:12.472,1008,0.40222588,-1.5035586,11.999739,
2023-1-31,10:49:12.478,1014,0.2681506,-1.4556746,8.2169,
2023-1-31,10:49:12.485,1021,0.2873042,-1.4077905,9.126697,
2023-1-31,10:49:12.488,1023,0.45968673,-1.3311762,7.9583263,
2023-1-31,10:49:12.494,1030,0.38307226,-1.5897499,9.404425,
2023-1-31,10:49:12.497,1033,0.24899697,-0.33518824,-3.2369606,
2023-1-31,10:49:12.503,1039,0.21068975,-0.36391866,-2.336741,
2023-1-31,10:49:12.507,1043,0.38307226,0.12449849,-1.7142484,
2023-1-31,10:49:12.513,1049,-0.40222588,-0.9672575,1.0630256,
2023-1-31,10:49:12.519,1055,-0.16280572,-1.4269443,-13.800179,
2023-1-31,10:49:12.523,1059,0.5650316,-0.62249243,-6.3781533,
2023-1-31,10:49:12.527,1063,-2.5187001,-6.5505357,71.213135,
2023-1-31,10:49:12.541,1077,1.13964,-1.1204864,4.5298295,
2023-1-31,10:49:12.543,1078,0.38307226,-0.2777274,4.7979803,
2023-1-31,10:49:12.544,1080,0.35434186,-0.33518824,1.5227122,
2023-1-31,10:49:12.555,1091,0.076614454,-1.7717092,6.655881,
2023-1-31,10:49:12.556,1092,0.51714754,-1.1013328,7.335834,
2023-1-31,10:49:12.557,1093,0.38307226,-1.4748282,8.628703,
2023-1-31,10:49:12.563,1099,0.2777274,-1.541866,7.249643,
2023-1-31,10:49:12.572,1107,0.39264908,-1.283292,5.535394,
2023-1-31,10:49:12.573,1109,0.25857377,-1.3599066,4.7884035,
2023-1-31,10:49:12.577,1113,0.2681506,-1.0151415,1.8387469,
2023-1-31,10:49:12.587,1123,0.35434186,-0.91937345,0.8331822,
2023-1-31,10:49:12.588,1124,0.23942018,-1.0342951,0.89064306,
2023-1-31,10:49:12.592,1128,6.445191,-10.888829,78.4532,
2023-1-31,10:49:12.596,1132,0.21068975,-0.11492168,-0.33518824,
2023-1-31,10:49:12.605,1140,0.23942018,-0.12449849,1.1204864,
2023-1-31,10:49:12.606,1142,0.7374141,-1.1779473,25.455153,
2023-1-31,10:49:12.613,1148,-0.22026655,-0.7182605,-0.8331822,
2023-1-31,10:49:12.621,1157,1.0247183,-2.2218192,30.818165,
2023-1-31,10:49:12.622,1158,0.2777274,-1.091756,9.404425,
2023-1-31,10:49:12.627,1162,0.34476504,-0.25857377,-4.0318356,
2023-1-31,10:49:12.638,1173,-0.80445176,-1.8770541,-7.2592196,
2023-1-31,10:49:12.639,1174,-0.019153614,-1.9249382,-2.930503,
2023-1-31,10:49:12.641,1177,0.7757214,-2.2505496,23.18545,
2023-1-31,10:49:12.646,1182,0.32561144,-1.3215994,10.400413,
2023-1-31,10:49:12.655,1191,1.5035586,-2.087744,27.236439,
2023-1-31,10:49:12.656,1192,0.62249243,-2.0973208,17.132908,
2023-1-31,10:49:12.662,1198,0.7086837,-1.7717092,8.810662,
2023-1-31,10:49:12.669,1205,0.17238252,-1.283292,-3.4380736,
2023-1-31,10:49:12.672,1207,0.38307226,-1.3982137,8.8777,
2023-1-31,10:49:12.676,1212,0.4309563,-1.8674773,12.152967,
2023-1-31,10:49:12.685,1221,0.39264908,-1.6567876,11.425131,
2023-1-31,10:49:12.686,1222,0.5650316,-1.6280571,11.559206,
2023-1-31,10:49:12.692,1228,0.7182605,-2.0111294,11.894394,
2023-1-31,10:49:12.697,1233,0.38307226,-1.733402,8.475474,
2023-1-31,10:49:12.703,1239,0.20111294,-1.685518,6.6846113,
2023-1-31,10:49:12.707,1243,0.58418524,-1.8004397,7.6231384,
2023-1-31,10:49:12.711,1247,0.7086837,-2.0111294,11.262324,
2023-1-31,10:49:12.719,1255,0.36391866,-1.6759412,12.516887,
2023-1-31,10:49:12.722,1257,0.4213795,-1.6759412,11.348516,
2023-1-31,10:49:12.727,1263,0.47884035,-1.4556746,8.829816,
2023-1-31,10:49:12.740,1276,0.36391866,-1.7046716,7.651869,
2023-1-31,10:49:12.742,1278,0.36391866,-1.5610195,7.2209125,
2023-1-31,10:49:12.743,1279,0.4309563,-1.6759412,9.500193,
2023-1-31,10:49:12.754,1290,0.50757074,-1.7046716,10.649409,
2023-1-31,10:49:12.755,1291,0.47884035,-1.7429788,11.109096,
2023-1-31,10:49:12.756,1292,0.5746084,-1.7046716,11.070788,
2023-1-31,10:49:12.760,1296,0.6607997,-1.7812861,9.662998,
2023-1-31,10:49:12.770,1306,0.7374141,-1.6567876,8.6095495,
2023-1-31,10:49:12.772,1307,0.4405331,-1.5514427,8.475474,
2023-1-31,10:49:12.776,1312,0.51714754,-1.6663644,9.270349,
2023-1-31,10:49:12.786,1322,0.48841715,-1.6950948,10.04607,
2023-1-31,10:49:12.787,1323,0.59376204,-1.7621324,10.888829,
2023-1-31,10:49:12.792,1328,0.45010993,-1.6663644,10.563218,
2023-1-31,10:49:12.796,1331,0.46926352,-1.4939818,10.314221,
2023-1-31,10:49:12.804,1340,0.6607997,-1.5705963,9.864111,
2023-1-31,10:49:12.807,1343,0.61291564,-1.6567876,10.477027,
2023-1-31,10:49:12.810,1346,0.4309563,-1.6184803,9.193734,
2023-1-31,10:49:12.819,1355,0.49799395,-1.7717092,9.653421,
2023-1-31,10:49:12.821,1357,0.38307226,-1.7238252,10.486604,
2023-1-31,10:49:12.826,1362,0.47884035,-1.8004397,10.572795,
2023-1-31,10:49:12.836,1372,0.46926352,-1.7429788,10.113108,
2023-1-31,10:49:12.837,1373,0.5650316,-1.7429788,10.199299,
2023-1-31,10:49:12.840,1376,0.60333884,-1.6472107,9.797073,
2023-1-31,10:49:12.846,1382,0.4213795,-1.7717092,9.3182335,
2023-1-31,10:49:12.852,1388,0.33518824,-1.6089035,10.1226845,
2023-1-31,10:49:12.856,1392,0.45968673,-1.5514427,10.093954,
2023-1-31,10:49:12.862,1397,0.36391866,-1.7908629,10.630256,
2023-1-31,10:49:12.868,1404,0.50757074,-1.7717092,11.070788,
2023-1-31,10:49:12.871,1407,0.41180268,-1.685518,11.147403,
2023-1-31,10:49:12.875,1411,0.40222588,-1.6950948,9.002198,
2023-1-31,10:49:12.886,1422,0.38307226,-1.6759412,8.207323,
2023-1-31,10:49:12.887,1423,0.40222588,-1.7142484,9.442732,
2023-1-31,10:49:12.891,1427,0.40222588,-1.7717092,10.180145,
2023-1-31,10:49:12.896,1432,0.41180268,-1.6950948,10.496181,
2023-1-31,10:49:12.902,1438,0.29688102,-1.6567876,10.6877165,
2023-1-31,10:49:12.906,1442,0.34476504,-1.6759412,9.940725,
2023-1-31,10:49:12.910,1446,0.33518824,-1.5610195,9.107543,
2023-1-31,10:49:12.921,1457,0.41180268,-1.5993267,8.925584,
2023-1-31,10:49:12.923,1458,0.39264908,-1.7429788,9.193734,
2023-1-31,10:49:12.925,1460,0.38307226,-1.6376339,9.634268,
2023-1-31,10:49:12.937,1473,0.36391866,-1.5897499,9.299079,
2023-1-31,10:49:12.938,1474,0.30645782,-1.388637,8.935161,
2023-1-31,10:49:12.941,1476,0.45968673,-1.6089035,9.835381,
2023-1-31,10:49:12.946,1481,0.37349546,-1.6567876,10.199299,
2023-1-31,10:49:12.952,1488,0.33518824,-1.733402,10.0748005,
2023-1-31,10:49:12.956,1492,0.2681506,-1.8195933,10.04607,
2023-1-31,10:49:12.961,1496,0.35434186,-1.8483237,9.643845,
2023-1-31,10:49:12.968,1504,0.34476504,-1.9728222,10.093954,
2023-1-31,10:49:12.970,1506,0.39264908,-1.8483237,10.726024,
2023-1-31,10:49:12.976,1511,0.21068975,-2.0015526,9.749189,
2023-1-31,10:49:12.984,1520,0.50757074,-1.733402,8.973468,
2023-1-31,10:49:12.985,1521,0.39264908,-1.9728222,9.80665,
2023-1-31,10:49:12.991,1526,0.29688102,-1.934515,9.682152,
2023-1-31,10:49:12.996,1531,0.34476504,-2.0015526,9.797073,
2023-1-31,10:49:13.2,1538,0.5267244,-1.934515,9.77792,
2023-1-31,10:49:13.5,1541,0.45010993,-1.7525556,9.931149,
2023-1-31,10:49:13.10,1546,0.51714754,-1.8483237,10.055647,
2023-1-31,10:49:13.18,1554,0.33518824,-1.7908629,9.739613,
2023-1-31,10:49:13.20,1556,0.32561144,-1.6280571,9.816227,
2023-1-31,10:49:13.25,1561,0.39264908,-1.6567876,9.797073,
2023-1-31,10:49:13.29,1565,0.47884035,-1.292869,9.931149,
2023-1-31,10:49:13.35,1571,0.29688102,-0.047884032,9.710882,
2023-1-31,10:49:13.40,1576,0.22984336,-0.047884032,9.816227,
2023-1-31,10:49:13.44,1580,0.33518824,-0.05746084,9.940725,
2023-1-31,10:49:13.52,1588,0.33518824,-0.06703765,9.921572,
2023-1-31,10:49:13.55,1591,0.30645782,-0.10534488,9.797073,
2023-1-31,10:49:13.60,1596,0.31603462,-0.095768064,9.835381,
2023-1-31,10:49:13.71,1607,0.32561144,-0.095768064,9.921572,
2023-1-31,10:49:13.73,1608,0.31603462,-0.1340753,9.902418,
2023-1-31,10:49:13.75,1611,0.30645782,-0.12449849,9.768343,
2023-1-31,10:49:13.79,1615,0.32561144,-0.10534488,9.844957,
2023-1-31,10:49:13.88,1624,0.34476504,-0.10534488,9.921572,
2023-1-31,10:49:13.89,1625,0.29688102,-0.10534488,9.854534,
2023-1-31,10:49:13.94,1630,0.2777274,-0.076614454,9.787497,
2023-1-31,10:49:13.103,1639,0.2777274,-0.02873042,9.873688,
2023-1-31,10:49:13.104,1640,0.25857377,-0.05746084,9.825804,
2023-1-31,10:49:13.110,1646,0.24899697,-0.019153614,9.835381,
2023-1-31,10:49:13.120,1655,0.2777274,-0.019153614,9.835381,
2023-1-31,10:49:13.121,1657,0.22984336,-0.019153614,9.873688,
2023-1-31,10:49:13.125,1660,0.19153613,-0.038307227,9.844957,
2023-1-31,10:49:13.129,1664,0.19153613,0.038307227,9.835381,
2023-1-31,10:49:13.137,1672,0.20111294,-0.02873042,9.873688,
2023-1-31,10:49:13.140,1676,0.20111294,-0.047884032,9.825804,
2023-1-31,10:49:13.143,1679,0.18195933,-0.02873042,9.825804,
2023-1-31,10:49:13.152,1688,0.17238252,-0.038307227,9.825804,
2023-1-31,10:49:13.154,1690,0.22026655,-0.08619126,9.844957,
2023-1-31,10:49:13.159,1695,0.22984336,-0.076614454,9.864111,
2023-1-31,10:49:13.168,1704,0.24899697,-0.06703765,9.864111,
2023-1-31,10:49:13.168,1704,0.23942018,-0.076614454,9.854534,
2023-1-31,10:49:13.175,1710,0.23942018,-0.10534488,9.825804,
2023-1-31,10:49:13.179,1714,0.2777274,-0.12449849,9.835381,
2023-1-31,10:49:13.185,1721,0.2681506,-0.12449849,9.854534,
2023-1-31,10:49:13.189,1725,0.2873042,-0.10534488,9.854534,
2023-1-31,10:49:13.194,1730,0.2777274,-0.10534488,9.864111,
2023-1-31,10:49:13.201,1737,0.2873042,-0.10534488,9.835381,
2023-1-31,10:49:13.204,1740,0.30645782,-0.08619126,9.825804,
2023-1-31,10:49:13.209,1745,0.30645782,-0.076614454,9.835381,
2023-1-31,10:49:13.218,1754,0.29688102,-0.047884032,9.835381,
2023-1-31,10:49:13.218,1754,0.2873042,-0.019153614,9.844957,
2023-1-31,10:49:13.225,1760,0.30645782,-0.038307227,9.825804,
2023-1-31,10:49:13.229,1765,0.30645782,-0.009576807,9.854534,
2023-1-31,10:49:13.239,1774,0.30645782,-0.038307227,9.854534,
2023-1-31,10:49:13.240,1776,0.2777274,-0.009576807,9.854534,
2023-1-31,10:49:13.247,1783,0.2873042,-0.038307227,9.835381,
2023-1-31,10:49:13.256,1792,0.2681506,0.019153614,9.844957,
2023-1-31,10:49:13.257,1793,0.23942018,-0.009576807,9.854534,
2023-1-31,10:49:13.258,1794,0.24899697,-0.038307227,9.835381,
2023-1-31,10:49:13.266,1801,0.23942018,-0.05746084,9.854534,
2023-1-31,10:49:13.273,1809,0.22984336,-0.076614454,9.854534,
2023-1-31,10:49:13.274,1810,0.20111294,-0.05746084,9.854534,
2023-1-31,10:49:13.280,1816,0.23942018,-0.06703765,9.844957,
2023-1-31,10:49:13.284,1820,0.22984336,-0.11492168,9.844957,
2023-1-31,10:49:13.293,1829,0.22984336,-0.10534488,9.835381,
2023-1-31,10:49:13.293,1829,0.19153613,-0.10534488,9.873688,
2023-1-31,10:49:13.298,1834,0.24899697,-0.12449849,9.80665,
2023-1-31,10:49:13.302,1838,0.20111294,-0.095768064,9.864111,
2023-1-31,10:49:13.308,1844,0.22984336,-0.11492168,9.835381,
2023-1-31,10:49:13.316,1851,0.2681506,-0.10534488,9.816227,
2023-1-31,10:49:13.319,1855,0.25857377,-0.095768064,9.844957,
2023-1-31,10:49:13.323,1859,0.2681506,-0.076614454,9.844957,
2023-1-31,10:49:13.328,1864,0.2777274,-0.038307227,9.844957,
2023-1-31,10:49:13.338,1873,0.2777274,-0.038307227,9.844957,
2023-1-31,10:49:13.338,1874,0.33518824,-0.06703765,9.844957,
2023-1-31,10:49:13.344,1880,0.30645782,-0.019153614,9.825804,
2023-1-31,10:49:13.350,1886,0.31603462,-0.02873042,9.835381,
2023-1-31,10:49:13.353,1888,0.34476504,-0.038307227,9.825804,
2023-1-31,10:49:13.359,1895,0.32561144,-0.019153614,9.825804,
2023-1-31,10:49:13.368,1904,0.30645782,-0.038307227,9.844957,
2023-1-31,10:49:13.369,1905,0.2873042,-0.05746084,9.854534,
2023-1-31,10:49:13.373,1909,0.29688102,-0.076614454,9.864111,
